T_ambient,Total (1+2)
27.7,187.4645682
27.1,201.8849196
27,211.4984872
26.7,211.4984872
30,240.33919
35.5,240.33919
36.5,235.5324062
38,245.1459738
39.3,235.5324062
32.2,259.5663252
29.6,254.7595414
28,187.4645682
28.1,225.9188386
27.7,216.305271
27,163.4306492
26.7,211.4984872
30.3,187.4645682
36,245.1459738
38.5,206.6917034
39.1,245.1459738
37.9,216.305271
32.7,288.407028
29.4,245.1459738
28.6,245.1459738
27.3,192.271352
26.5,211.4984872
25.9,235.5324062
25.5,235.5324062
31.9,240.33919
37.4,221.1120548
39,225.9188386
38.3,245.1459738
35.7,211.4984872
31.45,230.7256224
28,187.4645682
26.9,187.4645682
26.8,168.237433
26.7,187.4645682
25.7,158.6238654
25,158.6238654
29.5,249.9527576
35.3,240.33919
36.7,216.305271
35.5,249.9527576
34.9,182.6577844
31,197.0781358
28.4,187.4645682
27.2,163.4306492
27,221.1120548
26.5,197.0781358
25.7,211.4984872
25.3,211.4984872
28,182.6577844
33.6,158.6238654
35.7,158.6238654
36.6,163.4306492
35,173.0442168
32,216.305271
29.8,201.8849196
27.5,206.6917034
25.6,163.4306492
24,163.4306492
23.5,192.271352
22.7,211.4984872
29.7,225.9188386
35.3,197.0781358
36,211.4984872
36.5,192.271352
34.6,173.0442168
30.75,187.4645682
28.8,187.4645682
26.65,182.6577844
25.9,197.0781358
25.6,173.0442168
25.2,153.8170816
24.1,149.0102978
28.8,173.0442168
33,173.0442168
34.8,197.0781358
38.2,192.271352
36,201.8849196
30.2,177.8510006
27.7,192.271352
26,158.6238654
22.1,245.1459738
21,221.1120548
20,240.33919
19.5,225.9188386
25,177.8510006
33,177.8510006
37.4,192.271352
38.7,201.8849196
33.6,221.1120548
30.3,235.5324062
29,235.5324062
27,283.6002442
25.7,216.305271
24.5,197.0781358
24.2,201.8849196
23.9,177.8510006
25,245.1459738
27,240.33919
32.8,235.5324062
33.6,225.9188386
32.5,211.4984872
28.3,240.33919
26.7,235.5324062
25.9,240.33919
27.6,182.6577844
26.9,177.8510006
26.5,206.6917034
26,192.271352
29,230.7256224
33.2,225.9188386
36.5,206.6917034
37,245.1459738
34,221.1120548
31,235.5324062
29.2,225.9188386
28.5,240.33919
27.5,187.4645682
27.2,235.5324062
26.9,249.9527576
26.5,254.7595414
31,163.4306492
35,173.0442168
37.8,168.237433
40,153.8170816
37.8,173.0442168
33.5,182.6577844
30.2,187.4645682
28.8,192.271352
28.2,225.9188386
27.1,230.7256224
26.5,230.7256224
26,230.7256224
30.4,225.9188386
35.1,211.4984872
39.2,240.33919
41.5,240.33919
38,211.4984872
35.5,230.7256224
32,240.33919
29.4,221.1120548
27.1,201.8849196
26.4,225.9188386
25.2,163.4306492
24.1,168.237433
28.7,153.8170816
34.5,206.6917034
34.7,192.271352
35.3,173.0442168
31.3,197.0781358
28.9,177.8510006
28,168.237433
26.3,187.4645682
27.3,230.7256224
27,298.0205956
26.1,110.5560274
26.4,235.5324062
28.8,216.305271
33.9,163.4306492
34.1,163.4306492
30.3,163.4306492
28,182.6577844
26.4,173.0442168
25.9,182.6577844
25.5,221.1120548
25,177.8510006
24.2,168.237433
28.8,249.9527576
32.5,273.9866766
33,225.9188386
34.2,240.33919
31.8,115.3628112
28.1,173.0442168
27,149.0102978
26.9,134.5899464
26.5,225.9188386
25.6,211.4984872
25.3,173.0442168
25.1,187.4645682
27.6,163.4306492
32.8,182.6577844
34.7,173.0442168
32.75,139.3967302
32.4,187.4645682
30.3,201.8849196
27.7,168.237433
27.2,197.0781358
26.6,173.0442168
25.5,173.0442168
25.6,168.237433
24.3,182.6577844
30,197.0781358
34,197.0781358
34.9,173.0442168
35.8,206.6917034
34.5,211.4984872
31,177.8510006
28.3,177.8510006
27.1,192.271352
27,206.6917034
26.5,197.0781358
26.2,201.8849196
26,206.6917034
29.5,216.305271
34.8,216.305271
35.8,225.9188386
34.1,201.8849196
34.2,201.8849196
31.2,216.305271
26.6,221.1120548
25.9,163.4306492
27.2,134.5899464
26.3,187.4645682
25.6,168.237433
24.3,182.6577844
28.9,187.4645682
33.6,173.0442168
38.5,206.6917034
35.5,225.9188386
34.9,182.6577844
31.6,192.271352
29,182.6577844
28.1,177.8510006
25,230.7256224
24.8,173.0442168
24.1,153.8170816
30.5,149.0102978
35,168.237433
39.5,201.8849196
37,129.7831626
32.7,153.8170816
29.8,249.9527576
27.6,206.6917034
24,206.6917034
25.2,235.5324062
27.5,201.8849196
26.9,192.271352
26.3,153.8170816
26,177.8510006
30.7,206.6917034
35,206.6917034
39.3,235.5324062
40,254.7595414
35.5,201.8849196
31,192.271352
28.7,211.4984872
28.1,182.6577844
26.5,230.7256224
25.4,240.33919
25,230.7256224
24.8,221.1120548
27,201.8849196
37.2,206.6917034
35.4,273.9866766
33.2,230.7256224
30.7,235.5324062
29.35,206.6917034
27.5,230.7256224
26,182.6577844
25.5,182.6577844
25,163.4306492
24.8,182.6577844
30.2,173.0442168
33.5,182.6577844
35,163.4306492
33.8,163.4306492
35,163.4306492
31,153.8170816
27.4,173.0442168
27,182.6577844
26.5,173.0442168
25.5,173.0442168
25,173.0442168
24.8,173.0442168
29.8,173.0442168
34.1,182.6577844
36.1,153.8170816
37.7,153.8170816
33,173.0442168
29.7,173.0442168
28.5,173.0442168
28,173.0442168
24.6,225.9188386
24.2,197.0781358
23.9,201.8849196
23.7,177.8510006
27,197.0781358
32,216.305271
34.2,235.5324062
35.3,182.6577844
25.9,187.4645682
24.9,211.4984872
25,211.4984872
25,201.8849196
27.5,230.7256224
26.9,235.5324062
25.4,235.5324062
24.8,230.7256224
28.9,187.4645682
36.7,187.4645682
39,206.6917034
39,211.4984872
36,211.4984872
31.8,206.6917034
29.5,197.0781358
28,201.8849196
28,177.8510006
27.5,197.0781358
26.9,192.271352
26.3,173.0442168
28.2,197.0781358
33.5,216.305271
37,206.6917034
38,206.6917034
35.8,211.4984872
30.5,216.305271
28.8,216.305271
28.2,192.271352
28,245.1459738
27.5,240.33919
27,230.7256224
26.6,269.1798928
29.4,187.4645682
34.7,230.7256224
37.2,225.9188386
38.6,221.1120548
35,216.305271
31.5,230.7256224
29.5,235.5324062
28.4,177.8510006
28.4,221.1120548
27,192.271352
26.1,187.4645682
25.4,182.6577844
30,225.9188386
34,225.9188386
36.7,230.7256224
38.8,230.7256224
34.2,245.1459738
31.5,197.0781358
29.9,216.305271
28.9,225.9188386
23.2,240.33919
22.9,240.33919
22.7,197.0781358
22.5,240.33919
28.6,221.1120548
31.4,216.305271
36.9,216.305271
38.4,225.9188386
32.8,221.1120548
30,254.7595414
25.3,240.33919
24.7,225.9188386
